,Total number of activities,Timeliness Transactions,Frequency,Activity planning,Alignment with financial year Transactions,Alignment with financial year Budgets,Unique identifier,Use of Recipient language,Start Date,End Date,Implementing Organisation,Accountable Organisation,Sub-national Geography (location),Sub-national Geography (additional),CRS Sector,Commitments,Disbursements and Expenditure,Traceability,Activity Documents,Text of Conditions,Results data,Results data (indicator)
,,1.1,1.2,1.3,1.4.1,1.4.2,2.1,2.2,2.3,2.4,2.5,2.6,3.1.1,3.1.2,3.2,5.1,5.2,5.3,6.1,6.2,6.3.1,6.3.2
African Development Bank,572,Beyond one year,Quarterly,0,Monthly,Not Known,44,45,0,0,44,0,22,22,44,44,20,0,100,0,0,0
Asian Development Bank,2658,Six-monthly,Quarterly,0,Annually,Not Known,50,0,50,50,0,48,0,0,0,50,50,0,100,0,0,0
Australian Agency for International Development,1112,Beyond one year,Annually,0,Annually,Not Known,100,0,100,100,0,0,0,0,0,0,97,0,0,0,0,0
Bond,4,Six-monthly,Monthly,100,Quarterly,Beyond one year,100,0,100,100,100,50,0,0,100,75,100,100,50,0,0,0
CDC Group plc,580,Beyond one year,Six-Monthly,0,Annually,Not Known,100,0,0,0,0,0,0,0,97,0,82,46,0,0,0,0
Danida - Danish Ministry of Foreigh Affairs,2596,Can not calculate,Annually,0,Annually,Not Known,100,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
"Department for International Development, United Kingdom",8796,Monthly,Monthly,84,Monthly,Annual,100,0,100,100,91,0,2,2,100,97,86,100,54,100,0,0
Development Initiatives Poverty Research,23,Six-monthly,Monthly,0,Monthly,Annual,100,0,100,100,100,0,0,0,100,4,100,91,87,0,0,0
EU Enlargement and FPI,1222,Monthly,Monthly,9,Monthly,Beyond one year,100,0,91,81,100,0,4,0,100,100,74,0,0,0,0,0
European Commission - Enlargement,808,Monthly,Monthly,0,Monthly,Not Known,100,0,87,72,100,0,0,0,100,100,65,0,0,0,0,0
European Commission - Humanitarian Aid & Civil Protection,1569,Monthly,Quarterly,0,Monthly,Not Known,100,0,99,100,93,0,0,0,0,7,93,100,0,0,0,0
European Commission – Development and Cooperation-EuropeAid,10049,Monthly,Monthly,60,Monthly,Beyond one year,100,0,97,98,100,0,100,0,100,100,82,0,1,0,0,0
